Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

195   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb6p-5	60	0x1.75031ddbff45p-17	50	0x1.266372756f87cp+5	1	37887240	gamma	gamma electron 
196   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	58	0x1.10db9a58bcfd2p-9	157	0x1.889c23653d45fp+5	1	37887240	gamma	gamma electron 
197   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91935p-6	29	0x1.1757ba93aeaf4p-16	48	0x1.20370fffe8b74p+5	1	37887240	gamma	gamma electron 
201   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	45	0x1.3ce0ebe7fe79bp-17	48	0x1.8af885516c3b6p+5	1	37887240	gamma	gamma electron 
202   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	68	0x1.edf1b54ac3622p-18	64	0x1.aa382c981a53dp+5	1	37887240	gamma	gamma electron 
212   	0x1.eb851eb851eb9p-5	0x1.5def5a5557409p-6	34	0x1.faedfc3635758p-18	26	0x1.6b5b817f39fa3p+5	1	37887240	gamma	gamma electron 
213   	0x1.eb851eb851eb9p-5	0x1.e57bf03b66de5p-7	16	0x1.a587662f32b4ep-12	13	0x1.c539b5bca7ea3p+5	1	37887240	gamma	gamma electron 
217   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb4p-5	71	0x1.bc3bc68ff40b4p-18	59	0x1.7ac6b394688ap+5	1	37887240	gamma	gamma electron 
221   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	57	0x1.761f39f53c012p-18	56	0x1.5d32d35403578p+5	1	37887240	gamma	gamma electron 
222   	0x1.eb851eb851eb9p-5	0x1.c1f7e2ee78effp-5	67	0x1.ca60e7f0fa219p-16	61	0x1.5e1616c5d8c93p+5	1	37887240	e-	electron 
229   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb7p-5	65	0x1.65e4513472ca7p-15	59	0x1.909515bde16cdp+5	1	37887240	gamma	gamma electron 
