INSTITUTE  (2GERKFK)
REFERENCE  (R,KFK-3779,11,84)
AUTHOR     (D.FILGES,S.CIERJACKS,Y.HINO,T.W.ARMSTRONG,P.CLOTH)
TITLE      VALIDATION OF THE INTRA-NUCLEAR CASCADE EVAPORATION
            MODEL FOR PARTICLE PRODUCTION.
METHOD     (TOF) 1.3M FLIGHT PATH FOR 30, 90, AND 150 DEGREE
                 MEASUREMENTS AND 2.3M FLIGHT PATH FOR 23 DEGREE
                 MEASUREMENTS. SEE CIERJACKS ET AL 81ANTWER, P.383
FACILITY   (CYCLO)
MONITOR    PROTON MONITOR INVOLVED A THIN GRAPHITE SCATTERER
            PLACED IN PROTON BEAM FAR UPSTREAM OF NEUTRON
            PRODUCING TARGET, AND FORWARD SCATTERED PROTONS AT 30
            DEGREE WERE DETECTED BY A PLASTIC SCINTILLATOR
            DETECTOR
DETECTOR   (SCIN) NE213 LIQUID SCINTILLATOR.
ERR-ANALYS (DATA-ERR)NEUTRON ENERGY RESOLUTION RANGED BETWEEN
             1.8 AND 33.8 PERCENT FOR NEUTRONS IN THE ENERGY RANGE
             1 TO 500 MEV.
STATUS     DATA RECEIVED FROM AUTHOR ON 87/3/20.
           (APRVD) S.CIERJACKS, 870430.
EN
MEV
 5.9000E+02
------------------------------------------------------------------------
SUBENT        98210007     881229
BIB
REACTION   (6-C-12(P,X)0-NN-1,,DA/DE,N)
E-MIN      E-MAX      +E-ERR     -E-ERR     DATA       DATA-ERR
 7.4000E-01 8.9900E-01 8.0000E-02 7.0000E-02 1.4400E-03 1.6110E-04
 8.9900E-01 1.0570E+00 9.0000E-02 8.0000E-02 1.5090E-03 1.6870E-04
 1.0570E+00 1.2440E+00 1.1000E-01 9.0000E-02 1.7370E-03 1.9430E-04
 1.2440E+00 1.4630E+00 1.3000E-01 1.1000E-01 1.6660E-03 1.8640E-04
 1.4630E+00 1.7220E+00 1.5000E-01 1.3000E-01 1.8140E-03 2.0290E-04
 1.7220E+00 2.0260E+00 1.8000E-01 1.5000E-01 1.8670E-03 2.0880E-04
 2.0260E+00 2.3830E+00 2.1000E-01 1.8000E-01 1.5220E-03 1.7020E-04
 2.3830E+00 2.8040E+00 2.4000E-01 2.1000E-01 1.3230E-03 1.4800E-04
 2.8040E+00 3.2990E+00 2.9000E-01 2.5000E-01 1.1320E-03 1.2660E-04
 3.2990E+00 3.8810E+00 3.4000E-01 3.0000E-01 9.1090E-04 1.0190E-04
 3.8810E+00 4.5660E+00 4.0000E-01 3.5000E-01 5.1610E-04 5.7760E-05
 4.5660E+00 5.3730E+00 4.6000E-01 4.1000E-01 4.9750E-04 5.5680E-05
 5.3730E+00 6.3210E+00 5.5000E-01 4.8000E-01 3.8860E-04 4.3500E-05
 6.3210E+00 7.4360E+00 6.4000E-01 5.7000E-01 3.4970E-04 3.9160E-05
 7.4360E+00 8.7490E+00 7.6000E-01 6.7000E-01 2.2420E-04 2.5120E-05
 8.7490E+00 1.0293E+01 8.9000E-01 7.9000E-01 1.8920E-04 2.1210E-05
 1.0293E+01 1.2108E+01 1.0500E+00 9.3000E-01 2.0940E-04 2.3470E-05
 1.2108E+01 1.4244E+01 1.2300E+00 1.0900E+00 9.1020E-05 1.0230E-05
 1.4244E+01 1.6758E+01 1.4500E+00 1.2800E+00 8.2780E-05 9.3110E-06
 1.6758E+01 1.9716E+01 1.7100E+00 1.5100E+00 1.0420E-04 1.1700E-05
 1.9716E+01 2.3195E+01 2.0100E+00 1.7700E+00 8.1880E-05 9.2100E-06
 2.3195E+01 2.7288E+01 2.3600E+00 2.0900E+00 6.0820E-05 6.8550E-06
 2.7288E+01 3.2105E+01 2.7800E+00 2.4500E+00 5.4600E-05 6.1600E-06
 3.2105E+01 3.7769E+01 3.2700E+00 2.8900E+00 3.5330E-05 4.0050E-06
 3.7769E+01 4.4434E+01 3.8500E+00 3.3900E+00 4.5590E-05 5.1530E-06
 4.4434E+01 5.2275E+01 4.7300E+00 4.1500E+00 2.9410E-05 3.3440E-06
 5.2275E+01 6.1499E+01 6.1200E+00 5.3100E+00 3.4390E-05 3.9000E-06
