INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
EN
 60.        3.1000E+02 2.0000E+01 5.2880E-06 1.4740E-06
 60.        3.3000E+02 2.0000E+01 3.7970E-06 1.2960E-06
 60.        3.5000E+02 2.0000E+01 2.1440E-06 1.1430E-06
 60.        3.7000E+02 2.0000E+01 1.4850E-06 1.0400E-06
 60.        3.9000E+02 2.0000E+01 7.9210E-07 9.9200E-07
 60.        4.1000E+02 2.0000E+01 4.5120E-07 9.4070E-07
 60.        4.3000E+02 2.0000E+01 2.0600E-07 8.9110E-07
 60.        4.5000E+02 2.0000E+01 1.1890E-07 8.6310E-07
120.        5.2500E-01 5.0000E-01 0.0        0.0
120.        5.2500E-01 5.0000E-01 6.7070E-04 4.0480E-04
120.        5.7500E-01 5.0000E-01 6.7590E-04 3.2700E-04
120.        6.2500E-01 5.0000E-01 6.2550E-04 2.7950E-04
120.        6.7500E-01 5.0000E-01 6.4490E-04 2.4880E-04
120.        7.2500E-01 5.0000E-01 7.5630E-04 2.2780E-04
120.        7.7500E-01 5.0000E-01 6.6500E-04 2.1410E-04
120.        8.2500E-01 5.0000E-01 7.3820E-04 1.9970E-04
120.        8.7500E-01 5.0000E-01 7.1240E-04 1.8890E-04
120.        9.2500E-01 5.0000E-01 7.6400E-04 1.9080E-04
120.        9.7500E-01 5.0000E-01 7.7060E-04 1.8210E-04
120.        1.0750E+00 1.0000E-01 7.0830E-04 1.1810E-04
120.        1.1500E+00 1.0000E-01 6.6420E-04 1.0400E-04
120.        1.2500E+00 1.0000E-01 7.2040E-04 9.7770E-05
120.        1.3500E+00 1.0000E-01 6.3380E-04 9.4200E-05
120.        1.4500E+00 1.0000E-01 6.7050E-04 8.8170E-05
120.        1.5500E+00 1.0000E-01 6.4980E-04 8.6400E-05
120.        1.6500E+00 1.0000E-01 6.3190E-04 8.2180E-05
120.        1.7500E+00 1.0000E-01 5.4210E-04 8.0260E-05
120.        1.8500E+00 1.0000E-01 6.3100E-04 7.8230E-05
120.        1.9500E+00 1.0000E-01 7.0660E-04 7.7810E-05
120.        2.1000E+00 2.0000E-01 5.8370E-04 5.0780E-05
120.        2.3000E+00 2.0000E-01 6.5080E-04 5.3350E-05
120.        2.5000E+00 2.0000E-01 6.6760E-04 5.5020E-05
120.        2.7000E+00 2.0000E-01 6.0110E-04 5.1350E-05
120.        2.9000E+00 2.0000E-01 5.9080E-04 5.2480E-05
120.        3.1000E+00 2.0000E-01 5.5610E-04 5.0470E-05
120.        3.3000E+00 2.0000E-01 4.7580E-04 4.7650E-05
120.        3.5000E+00 2.0000E-01 4.9860E-04 4.5950E-05
120.        3.7000E+00 2.0000E-01 4.3410E-04 4.5240E-05
120.        3.9000E+00 2.0000E-01 3.7650E-04 4.2860E-05
120.        4.1000E+00 2.0000E-01 3.9380E-04 4.3630E-05
120.        4.3000E+00 2.0000E-01 3.6220E-04 4.2910E-05
120.        4.5000E+00 2.0000E-01 3.5850E-04 4.0730E-05
120.        4.7000E+00 2.0000E-01 4.0170E-04 4.0300E-05
120.        4.9000E+00 2.0000E-01 3.8980E-04 3.9340E-05
120.        5.2500E+00 5.0000E-01 3.0330E-04 2.3670E-05
120.        5.7500E+00 5.0000E-01 3.2590E-04 2.3130E-05
120.        6.2500E+00 5.0000E-01 2.6590E-04 2.0620E-05
120.        6.7500E+00 5.0000E-01 2.6570E-04 1.9630E-05
120.        7.2500E+00 5.0000E-01 2.5770E-04 1.8830E-05
120.        7.7500E+00 5.0000E-01 2.4670E-04 1.7750E-05
120.        8.2500E+00 5.0000E-01 2.0490E-04 1.7000E-05
120.        8.7500E+00 5.0000E-01 1.9180E-04 1.5870E-05
120.        9.2500E+00 5.0000E-01 2.0100E-04 1.5100E-05
120.        9.7500E+00 5.0000E-01 1.9420E-04 1.4950E-05
120.        1.0750E+01 1.0000E+00 1.7370E-04 9.9430E-06
120.        1.1500E+01 1.0000E+00 1.5510E-04 9.5290E-06
120.        1.2500E+01 1.0000E+00 1.5390E-04 9.1090E-06
120.        1.3500E+01 1.0000E+00 1.4510E-04 8.8770E-06
120.        1.4500E+01 1.0000E+00 1.3690E-04 8.6180E-06
120.        1.5500E+01 1.0000E+00 1.3590E-04 8.4630E-06
120.        1.6500E+01 1.0000E+00 1.1980E-04 8.3080E-06
120.        1.7500E+01 1.0000E+00 1.0820E-04 8.2830E-06
120.        1.8500E+01 1.0000E+00 1.0550E-04 8.0600E-06
120.        1.9500E+01 1.0000E+00 9.5760E-05 7.8730E-06
120.        2.1000E+01 2.0000E+00 9.0980E-05 5.3030E-06
120.        2.3000E+01 2.0000E+00 7.9910E-05 5.0420E-06
120.        2.5000E+01 2.0000E+00 6.5590E-05 4.7620E-06
120.        2.7000E+01 2.0000E+00 6.6220E-05 4.6450E-06
120.        2.9000E+01 2.0000E+00 5.7990E-05 4.5220E-06
120.        3.1000E+01 2.0000E+00 5.7400E-05 4.4250E-06
120.        3.3000E+01 2.0000E+00 4.7040E-05 4.3700E-06
120.        3.5000E+01 2.0000E+00 4.4900E-05 4.9670E-06
120.        3.7000E+01 2.0000E+00 3.9000E-05 4.7070E-06
120.        3.9000E+01 2.0000E+00 3.9050E-05 4.5130E-06
120.        4.1000E+01 2.0000E+00 3.3290E-05 4.2780E-06
120.        4.3000E+01 2.0000E+00 3.2790E-05 4.1640E-06
120.        4.5000E+01 2.0000E+00 2.9140E-05 4.0540E-06
120.        4.7000E+01 2.0000E+00 2.9580E-05 3.9710E-06
120.        4.9000E+01 2.0000E+00 3.3050E-05 3.9610E-06
