INSTITUTE  (1USALAS,2GERJUL)
REFERENCE  (J,NSE,102,310,198907)
           (R,LA-11518,198903)
AUTHOR     (M.M.MEIER,D.A.CLARK,C.A.GOULDING,J.B.MCCLELLAND,
           G.L.MORGAN,C.E.MOSS,W.B.AMIAN)
TITLE      Differential Neutron Production Cross Sections and
            Neutron Yields from Stopping-Length Targets for
            113-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved with corrections by M. Meier, 21 May
 60.        8.2500E-01 5.0000E-01 6.5920E-05 2.8040E-04
 60.        8.7500E-01 5.0000E-01 6.6060E-04 2.6290E-04
 60.        9.2500E-01 5.0000E-01 6.5210E-04 2.9280E-04
 60.        9.7500E-01 5.0000E-01 5.5010E-04 2.9000E-04
 60.        1.0750E+00 1.0000E-01 1.2320E-03 1.7800E-04
 60.        1.1500E+00 1.0000E-01 6.4760E-04 1.4550E-04
 60.        1.2500E+00 1.0000E-01 6.5570E-04 1.3960E-04
 60.        1.3500E+00 1.0000E-01 4.3170E-04 1.3360E-04
 60.        1.4500E+00 1.0000E-01 6.0290E-04 1.2150E-04
 60.        1.5500E+00 1.0000E-01 5.1220E-04 1.1620E-04
 60.        1.6500E+00 1.0000E-01 5.6090E-04 1.0990E-04
 60.        1.7500E+00 1.0000E-01 5.3200E-04 1.0580E-04
 60.        1.8500E+00 1.0000E-01 5.8120E-04 1.0360E-04
 60.        1.9500E+00 1.0000E-01 6.8130E-04 1.0370E-04
 60.        2.1000E+00 2.0000E-01 6.1850E-04 6.3390E-05
 60.        2.3000E+00 2.0000E-01 6.9010E-04 7.3260E-05
 60.        2.5000E+00 2.0000E-01 6.9900E-04 8.0680E-05
 60.        2.7000E+00 2.0000E-01 6.8630E-04 6.9440E-05
 60.        2.9000E+00 2.0000E-01 7.0760E-04 7.6950E-05
 60.        3.1000E+00 2.0000E-01 6.0260E-04 7.2880E-05
 60.        3.3000E+00 2.0000E-01 4.6720E-04 6.3570E-05
 60.        3.5000E+00 2.0000E-01 4.9020E-04 5.9010E-05
 60.        3.7000E+00 2.0000E-01 4.7090E-04 5.7130E-05
 60.        3.9000E+00 2.0000E-01 4.1370E-04 5.3560E-05
 60.        4.1000E+00 2.0000E-01 4.3030E-04 5.6380E-05
 60.        4.3000E+00 2.0000E-01 4.7350E-04 5.7130E-05
 60.        4.5000E+00 2.0000E-01 4.3700E-04 5.2890E-05
 60.        4.7000E+00 2.0000E-01 4.4490E-04 5.1850E-05
 60.        4.9000E+00 2.0000E-01 5.2580E-04 5.0670E-05
 60.        5.2500E+00 5.0000E-01 3.5360E-04 2.9780E-05
 60.        5.7500E+00 5.0000E-01 3.5960E-04 3.1360E-05
 60.        6.2500E+00 5.0000E-01 2.8180E-04 2.7300E-05
 60.        6.7500E+00 5.0000E-01 3.1110E-04 2.5930E-05
 60.        7.2500E+00 5.0000E-01 3.1720E-04 2.4280E-05
 60.        7.7500E+00 5.0000E-01 3.0190E-04 2.4720E-05
 60.        8.2500E+00 5.0000E-01 2.9260E-04 2.2910E-05
 60.        8.7500E+00 5.0000E-01 2.8560E-04 2.2880E-05
 60.        9.2500E+00 5.0000E-01 2.6090E-04 2.2120E-05
 60.        9.7500E+00 5.0000E-01 2.8050E-04 2.2460E-05
 60.        1.0750E+01 1.0000E+00 2.3420E-04 1.4870E-05
 60.        1.1500E+01 1.0000E+00 2.4570E-04 1.4530E-05
 60.        1.2500E+01 1.0000E+00 2.3270E-04 1.3760E-05
