TITLE      NEUTRON FROM (D,N) REACTION ON 27AL,53CR,90,94ZR,
           122SN,181TA.
AUTHOR     (N.S.BIRYUKOV,B.V.ZHURAVLEV,A.P.RUDENKO,V.I.TRYKOVA)
INSTITUTE  (4CCPFEI)
REFERENCE  (J,YK,,(2),7,86)
FACILITY   (CYCLO,4CCPFEI)
METHOD     (TOF,BCINT,SITA)
PART-DET   (N)
ERR-ANALYS (DATA-ERR).TOTAL UNCERTAINTY.
           (EN-ERR).ANY ADDITIONAL INFORMATION IS ABSENT.
REACTION   (40-ZR-94(D,X)0-NN-1,,DA/DE,,,EXP)
SAMPLE     ZR-94(91.2 PERCENT).THICKNESS OF FOIL=4.91E-3G/CM**2
MEV        MEV
 2.2300E+01 3.0000E-01
DATA                 4        383
E          ANG        DATA       DATA-ERR
MEV        ADEG       MB/SR/MEV  MB/SR/MEV
 7.9500E+00 1.2000E+02 3.8600E+00 2.5000E-01
 7.9500E+00 1.5000E+02 3.9800E+00 2.6000E-01
 8.1300E+00 3.0000E+01 2.1380E+01 1.2400E+00
 8.1300E+00 6.0000E+01 6.9600E+00 3.5000E-01
 8.1300E+00 9.0000E+01 3.9100E+00 2.4000E-01
 8.1300E+00 1.2000E+02 3.4400E+00 2.3000E-01
 8.1300E+00 1.5000E+02 3.5500E+00 2.5000E-01
 8.3200E+00 3.0000E+01 2.1410E+01 1.2000E+00
 8.3200E+00 6.0000E+01 6.8100E+00 3.5000E-01
 8.3200E+00 9.0000E+01 3.5200E+00 2.1000E-01
 8.3200E+00 1.2000E+02 3.0300E+00 2.1000E-01
 8.3200E+00 1.5000E+02 3.2300E+00 2.3000E-01
 8.5100E+00 3.0000E+01 2.1560E+01 1.2500E+00
 8.5100E+00 6.0000E+01 6.4900E+00 3.3000E-01
 8.5100E+00 9.0000E+01 3.4100E+00 2.0000E-01
 8.5100E+00 1.2000E+02 2.7600E+00 1.8000E-01
 8.5100E+00 1.5000E+02 3.0500E+00 2.1000E-01
 8.7200E+00 3.0000E+01 2.1080E+01 1.2100E+00
 8.7200E+00 6.0000E+01 6.1500E+00 3.2000E-01
 8.7200E+00 9.0000E+01 3.1300E+00 2.0000E-01
 8.7200E+00 1.2000E+02 2.7100E+00 2.0000E-01
 8.7200E+00 1.5000E+02 2.8000E+00 2.1000E-01
 8.9300E+00 3.0000E+01 2.0190E+01 1.1500E+00
 8.9300E+00 6.0000E+01 5.7900E+00 3.0000E-01
 8.9300E+00 9.0000E+01 2.8900E+00 1.8000E-01
 8.9300E+00 1.2000E+02 2.5400E+00 1.9000E-01
 8.9300E+00 1.5000E+02 2.6900E+00 2.0000E-01
 9.1400E+00 3.0000E+01 1.9600E+01 1.1100E+00
 9.1400E+00 6.0000E+01 5.6300E+00 3.0000E-01
 9.1400E+00 9.0000E+01 2.7800E+00 1.8000E-01
 9.1400E+00 1.2000E+02 2.0900E+00 1.5000E-01
 9.1400E+00 1.5000E+02 2.4000E+00 1.8000E-01
 9.3700E+00 3.0000E+01 1.8970E+01 1.1100E+00
 9.3700E+00 6.0000E+01 5.2200E+00 2.8000E-01
 9.3700E+00 9.0000E+01 2.7500E+00 1.8000E-01
