INSTITUTE  (1USALAS)
REFERENCE  (J,NSE,110,289,199203)
           (R,LA-11656,198908)
AUTHOR     (M.M.MEIER,W.B.AMIAN,C.A.GOULDING,G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            256-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
REACTION   (26-FE-0(P,X)0-NN-1,,DA/DE)
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
MEV
256.
ENDCOMMON            3          0
DATA                 5        342
 60.        8.7500E+01 5.0000E+00 2.7620E-04 1.1000E-05
 60.        9.2500E+01 5.0000E+00 2.7000E-04 1.0760E-05
 60.        9.7500E+01 5.0000E+00 2.5000E-04 1.0320E-05
 60.        1.0750E+02 1.0000E+01 2.0840E-04 7.2450E-06
 60.        1.1500E+02 1.0000E+01 1.5610E-04 6.0440E-06
 60.        1.2500E+02 1.0000E+01 1.2550E-04 5.2910E-06
 60.        1.3500E+02 1.0000E+01 1.0220E-04 4.7220E-06
 60.        1.4500E+02 1.0000E+01 6.6980E-05 3.7600E-06
 60.        1.5500E+02 1.0000E+01 4.8790E-05 3.2210E-06
 60.        1.6500E+02 1.0000E+01 3.4760E-05 2.7450E-06
 60.        1.7500E+02 1.0000E+01 2.3570E-05 2.2910E-06
 60.        1.8500E+02 1.0000E+01 1.5590E-05 1.9490E-06
 60.        1.9500E+02 1.0000E+01 9.6490E-06 1.6190E-06
 60.        2.1000E+02 2.0000E+01 3.0850E-06 8.2800E-07
 60.        2.3000E+02 2.0000E+01 4.6950E-07 6.3920E-07
150.        6.2500E-01 5.0000E-02 1.4150E-02 0.0
150.        6.2500E-01 5.0000E-02 1.4150E-02 4.0450E-04
150.        6.7500E-01 5.0000E-02 1.4140E-02 3.9590E-04
150.        7.2500E-01 5.0000E-02 1.4800E-02 4.0240E-04
150.        7.7500E-01 5.0000E-02 1.6080E-02 4.2320E-04
150.        8.2500E-01 5.0000E-02 1.6170E-02 4.2340E-04
150.        8.7500E-01 5.0000E-02 1.6490E-02 4.2660E-04
150.        9.2500E-01 5.0000E-02 1.8360E-02 4.6940E-04
150.        9.7500E-01 5.0000E-02 1.7750E-02 4.5670E-04
150.        1.0750E+00 1.0000E-01 1.6010E-02 3.7650E-04
150.        1.1500E+00 1.0000E-01 1.6460E-02 3.7970E-04
150.        1.2500E+00 1.0000E-01 1.6610E-02 3.8180E-04
150.        1.3500E+00 1.0000E-01 1.5310E-02 3.5570E-04
150.        1.4500E+00 1.0000E-01 1.5120E-02 3.5010E-04
150.        1.5500E+00 1.0000E-01 1.5160E-02 3.5040E-04
150.        1.6500E+00 1.0000E-01 1.5070E-02 3.4730E-04
150.        1.7500E+00 1.0000E-01 1.4220E-02 3.2980E-04
150.        1.8500E+00 1.0000E-01 1.3970E-02 3.2480E-04
150.        1.9500E+00 1.0000E-01 1.4420E-02 3.3480E-04
150.        2.1000E+00 2.0000E-01 1.3050E-02 2.8740E-04
150.        2.3000E+00 2.0000E-01 1.3970E-02 3.0850E-04
150.        2.5000E+00 2.0000E-01 1.3730E-02 3.0510E-04
150.        2.7000E+00 2.0000E-01 1.2240E-02 2.7330E-04
150.        2.9000E+00 2.0000E-01 1.1630E-02 2.6220E-04
150.        3.1000E+00 2.0000E-01 1.0610E-02 2.4100E-04
150.        3.3000E+00 2.0000E-01 9.0510E-03 2.0790E-04
150.        3.5000E+00 2.0000E-01 8.0570E-03 1.8710E-04
