REFERENCE  (J,NSE,110,289,199203)
AUTHOR     (W.B.AMIAN,R.C.BYRD,D.A.CLARK,C.A.GOULDING,M.M.MEIER,
           G.L.MORGAN,C.E.MOSS)
TITLE      Differential Neutron Production Cross Sections for
            597-MeV Protons
FACILITY   (MESON) WNR at LAMPF.
METHOD     (TOF) Neutron energy determined by time-of-flight.
DETECTOR   (SCIN) Cylindrical plastic scintillators at 3 energy
            biases.  Efficiency calibrated relative to 7Li(p,n)7Be
            reaction.
           Proton beam monitored using secondary electron monitor.
ANALYSIS   Data averaged over bins widths. Neutron energy given
            midpoint of bin.  The resolution given is the bin
            width.
CORRECTION Corrected for
           . dead-time,
           . background,
           . beam attenuation,
           . detector efficiency and solid angle.
ERR-ANALYS (DATA-ERR) Uncertainties include statitical uncertainty
            and uncertainty in background and shadow-bar
            corrections.
STATUS     Data received by email, R. Byrd, 10 September 1998.
           (APRVD) Approved by M. Meier, 21 May 1999.
HISTORY    (19980911C)
           (19990521A) Data units corrected.
120.        1.7500E+02 1.0000E+01 1.6440E-05 3.1650E-06
120.        1.8500E+02 1.0000E+01 1.0290E-05 2.5090E-06
120.        1.9500E+02 1.0000E+01 8.3160E-06 2.2650E-06
120.        2.1000E+02 2.0000E+01 5.3770E-06 1.3570E-06
120.        2.3000E+02 2.0000E+01 3.0790E-06 3.0470E-05
120.        2.5000E+02 2.0000E+01 5.2070E-07 6.6620E-07
150.        5.2500E-01 5.0000E-01 2.3580E-01 0.0
150.        5.2500E-01 5.0000E-01 2.3580E-01 3.4540E-03
150.        5.7500E-01 5.0000E-01 2.5410E-01 3.2240E-03
150.        6.2500E-01 5.0000E-01 2.6850E-01 3.1480E-03
150.        6.7500E-01 5.0000E-01 2.7260E-01 3.0220E-03
150.        7.2500E-01 5.0000E-01 2.8640E-01 3.0030E-03
150.        7.7500E-01 5.0000E-01 2.9700E-01 3.0180E-03
150.        8.2500E-01 5.0000E-01 3.1070E-01 3.0260E-03
150.        8.7500E-01 5.0000E-01 3.1040E-01 3.0060E-03
150.        9.2500E-01 5.0000E-01 3.5040E-01 3.2910E-03
150.        9.7500E-01 5.0000E-01 3.2560E-01 3.1840E-03
150.        1.0750E+00 1.0000E-01 2.9910E-01 2.1030E-03
150.        1.1500E+00 1.0000E-01 2.9760E-01 2.0100E-03
150.        1.2500E+00 1.0000E-01 3.0560E-01 2.0100E-03
150.        1.3500E+00 1.0000E-01 2.7970E-01 1.9440E-03
150.        1.4500E+00 1.0000E-01 2.8440E-01 1.9150E-03
150.        1.5500E+00 1.0000E-01 2.7640E-01 1.8920E-03
150.        1.6500E+00 1.0000E-01 2.7940E-01 1.8950E-03
150.        1.7500E+00 1.0000E-01 2.6030E-01 1.8220E-03
150.        1.8500E+00 1.0000E-01 2.6250E-01 1.8480E-03
150.        1.9500E+00 1.0000E-01 2.6580E-01 1.8780E-03
150.        2.1000E+00 2.0000E-01 2.4410E-01 1.2370E-03
150.        2.3000E+00 2.0000E-01 2.5770E-01 1.3480E-03
150.        2.5000E+00 2.0000E-01 2.5550E-01 1.4010E-03
