      32.25      32.75      2.775
      32.75      33.25      2.859
      33.25      33.75      2.831
      33.75      34.25      2.886
      34.25      34.75      2.969
      34.75      35.25      2.818
      35.25      35.75      2.802
      35.75      36.25      3.000
      36.25      36.75      2.925
      36.75      37.25      2.898
      37.25      37.75      3.016
      37.75      38.25      3.091
      38.25      38.75      3.075
      38.75      39.25      2.997
      39.25      39.75      2.988
      39.75      40.25      2.909
      40.25      40.75      2.765
      40.75      41.25      2.818
      41.25      41.75      2.710
      41.75      42.25      2.641
      42.25      42.75      2.707
      42.75      43.25      2.745
      43.25      43.75      2.719
      43.75      44.25      2.650
      44.25      44.75      2.624
      44.75      45.25      2.713
      45.25      45.75      2.636
      45.75      46.25      2.512
      46.25      46.75      2.436
      46.75      47.25      2.514
      47.25      47.75      2.488
      47.75      48.25      2.491
      48.25      48.75      2.414
      48.75      49.25      2.360
      49.25      49.75      2.433
      49.75      50.25      2.324
      50.25      50.75      2.331
      50.75      51.25      2.271
      51.25      51.75      2.419
      51.75      52.25      2.247
      52.25      52.75      2.364
      52.75      53.25      2.271
      53.25      53.75      2.124
      53.75      54.25      2.182
      54.25      54.75      2.138
      54.75      55.25      2.269
      55.25      55.75      2.251
      55.75      56.25      2.142
      56.25      56.75      2.181
      56.75      57.25      2.090
      57.25      57.75      2.244
      57.75      58.25      2.219
      58.25      58.75      2.167
      58.75      59.25      2.168
      59.25      59.75      2.064
      59.75      60.25      2.037
      60.25      60.75      2.111
      60.75      61.25      2.095
      61.25      61.75      2.106
      61.75      62.25      2.072
      62.25      62.75      2.002
      62.75      63.25      2.033
      63.25      63.75      2.074
      63.75      64.25      2.026
      64.25      64.75      2.065
      64.75      65.25      2.051
      65.25      65.75      2.038
      65.75      66.25      2.029
      66.25      66.75      1.938
      66.75      67.25      1.922
      67.25      67.75      1.846
      67.75      68.25      1.903
      68.25      68.75      1.875
      68.75      69.25      1.953
      69.25      69.75      1.813
      69.75      70.25      1.850
      70.25      70.75      1.822
      70.75      71.25      1.815
      71.25      71.75      1.758
      71.75      72.25      1.729
      72.25      72.75      1.766
      72.75      73.25      1.767
      73.25      73.75      1.691
      73.75      74.25      1.803
      74.25      74.75      1.703
      74.75      75.25      1.617
      75.25      75.75      1.704
      75.75      76.25      1.660
      76.25      76.75      1.683
      76.75      77.25      1.575
      77.25      77.75      1.581
      77.75      78.25      1.546
      78.25      78.75      1.465
      78.75      79.25      1.430
      79.25      79.75      1.420
      79.75      80.25      1.492
      80.25      80.75      1.418
      80.75      81.25      1.402
      81.25      81.75      1.410
      81.75      82.25      1.406
      82.25      82.75      1.396
      82.75      83.25      1.358
      83.25      83.75      1.312
      83.75      84.25      1.274
      84.25      84.75      1.172
      84.75      85.25      1.259
      85.25      85.75      1.209
      85.75      86.25      1.150
      86.25      86.75      1.088
      86.75      87.25      1.040
      87.25      87.75      1.089
      87.75      88.25      1.056
      88.25      88.75      1.065
      88.75      89.25     0.9678
      89.25      89.75     0.9473
      89.75      90.25     0.9926
      90.25      90.75     0.8510
      90.75      91.25     0.8933
      91.25      91.75     0.8894
      91.75      92.25     0.8309
      92.25      92.75     0.8359
      92.75      93.25     0.8349
      93.25      93.75     0.7345
      93.75      94.25     0.7298
      94.25      94.75     0.8273
      94.75      95.25     0.7460
      95.25      95.75     0.7224
      95.75      96.25     0.6855
      96.25      96.75     0.6518
      96.75      97.25     0.6426
      97.25      97.75     0.7046
      97.75      98.25     0.6578
      98.25      98.75     0.5748
      98.75      99.25     0.6227
      99.25      99.75     0.5945
      99.75      100.2     0.5695
      100.2      100.7     0.5452
      100.7      101.2     0.5420
      101.2      101.7     0.4897
      101.7      102.2     0.4725
      102.2      102.7     0.4620
      102.7      103.2     0.4783
      103.2      103.7     0.4397
      103.7      104.2     0.3967
      104.2      104.7     0.3968
      104.7      105.2     0.3651
      105.2      105.7     0.3387
      105.7      106.2     0.2885
      106.2      106.7     0.2867
      106.7      107.2     0.2514
      107.2      107.7     0.2508
      107.7      108.2     0.2186
      108.2      108.7     0.2077
      108.7      109.2     0.2653
      109.2      109.7     0.2409
      109.7      110.2     0.2678
      110.2      110.7     0.2697
      110.7      111.2     0.2437
      111.2      111.7     0.2589
      111.7      112.2     0.2459
      112.2      112.7     0.1886
      112.7      113.2     0.1272
      113.2      113.7 9.9904E-02
      113.7      114.2 4.4240E-02
      114.2      114.7 1.7342E-02
      114.7      115.2 1.1494E-02
      115.2      115.7         0.
      115.7      116.2         0.
      116.2      116.7 4.9117E-03
      116.7      117.2 1.0312E-02
      117.2      117.7 8.9553E-05
      117.7      118.2 4.2783E-03
      118.2      118.7 1.3138E-02
      118.7      119.2 5.8601E-03
      119.2      119.7 8.4709E-03
ENDDATA            182
EN         ANG
MEV        ADEG
       120.        45.
ENDCOMMON            3
DATA                 3        181
E-MIN      E-MAX      DATA
MEV        MEV        MB/SR/MEV
      29.75      30.25      2.721
      30.25      30.75      2.400
      30.75      31.25      2.550
      31.25      31.75      2.620
      31.75      32.25      2.520
      32.25      32.75      2.580
      32.75      33.25      2.529
      33.25      33.75      2.392
      33.75      34.25      2.461
      34.25      34.75      2.532
      34.75      35.25      2.587
      35.25      35.75      2.513
      35.75      36.25      2.623
      36.25      36.75      2.494
      36.75      37.25      2.442
      37.25      37.75      2.562
      37.75      38.25      2.658
      38.25      38.75      2.505
      38.75      39.25      2.488
      39.25      39.75      2.628
      39.75      40.25      2.505
      40.25      40.75      2.498
      40.75      41.25      2.433
      41.25      41.75      2.286
      41.75      42.25      2.308
      42.25      42.75      2.337
      42.75      43.25      2.216
      43.25      43.75      2.117
      43.75      44.25      2.299
      44.25      44.75      2.073
      44.75      45.25      2.091
      45.25      45.75      2.006
      45.75      46.25      2.011
      46.25      46.75      2.030
      46.75      47.25      1.965
      47.25      47.75      2.010
      47.75      48.25      1.898
      48.25      48.75      1.859
      48.75      49.25      1.936
      49.25      49.75      1.905
      49.75      50.25      1.819
      50.25      50.75      1.841
      50.75      51.25      1.820
      51.25      51.75      1.756
      51.75      52.25      1.702
      52.25      52.75      1.790
      52.75      53.25      1.751
      53.25      53.75      1.634
      53.75      54.25      1.697
      54.25      54.75      1.632
      54.75      55.25      1.720
      55.25      55.75      1.598
      55.75      56.25      1.582
      56.25      56.75      1.559
      56.75      57.25      1.590
      57.25      57.75      1.593
      57.75      58.25      1.568
      58.25      58.75      1.482
      58.75      59.25      1.482
      59.25      59.75      1.507
      59.75      60.25      1.497
      60.25      60.75      1.631
      60.75      61.25      1.545
      61.25      61.75      1.508
      61.75      62.25      1.429
      62.25      62.75      1.437
      62.75      63.25      1.347
      63.25      63.75      1.281
      63.75      64.25      1.256
      64.25      64.75      1.319
      64.75      65.25      1.363
      65.25      65.75      1.375
      65.75      66.25      1.320
      66.25      66.75      1.352
      66.75      67.25      1.198
      67.25      67.75      1.242
      67.75      68.25      1.242
      68.25      68.75      1.169
      68.75      69.25      1.227
      69.25      69.75      1.162
      69.75      70.25      1.109
      70.25      70.75      1.091
      70.75      71.25      1.077
      71.25      71.75      1.106
      71.75      72.25      1.061
      72.25      72.75      1.102
      72.75      73.25      1.015
      73.25      73.75      1.023
      73.75      74.25     0.9895
      74.25      74.75     0.9870
      74.75      75.25     0.9869
      75.25      75.75     0.9693
      75.75      76.25     0.9339
      76.25      76.75     0.9398
      76.75      77.25     0.9385
      77.25      77.75     0.9188
      77.75      78.25     0.8329
      78.25      78.75     0.8850
      78.75      79.25     0.8433
      79.25      79.75     0.8437
      79.75      80.25     0.7823
      80.25      80.75     0.7849
      80.75      81.25     0.8033
      81.25      81.75     0.7505
      81.75      82.25     0.7068
      82.25      82.75     0.7478
      82.75      83.25     0.7243
      83.25      83.75     0.7102
      83.75      84.25     0.7249
      84.25      84.75     0.7158
      84.75      85.25     0.6170
      85.25      85.75     0.6077
      85.75      86.25     0.6037
      86.25      86.75     0.6203
      86.75      87.25     0.6113
      87.25      87.75     0.6047
      87.75      88.25     0.5662
      88.25      88.75     0.5172
      88.75      89.25     0.5106
      89.25      89.75     0.4793
      89.75      90.25     0.4994
      90.25      90.75     0.4824
      90.75      91.25     0.4894
      91.25      91.75     0.4546
      91.75      92.25     0.4730
      92.25      92.75     0.4298
      92.75      93.25     0.4396
      93.25      93.75     0.4049
      93.75      94.25     0.4188
      94.25      94.75     0.3796
      94.75      95.25     0.3763
      95.25      95.75     0.3890
      95.75      96.25     0.3372
      96.25      96.75     0.3376
      96.75      97.25     0.3604
      97.25      97.75     0.3541
      97.75      98.25     0.3134
      98.25      98.75     0.2934
      98.75      99.25     0.2881
      99.25      99.75     0.2743
      99.75      100.2     0.2911
      100.2      100.7     0.2798
      100.7      101.2     0.2653
      101.2      101.7     0.2554
      101.7      102.2     0.2475
      102.2      102.7     0.2134
      102.7      103.2     0.2408
      103.2      103.7     0.2056
      103.7      104.2     0.1976
      104.2      104.7     0.1850
      104.7      105.2     0.1719
      105.2      105.7     0.1763
      105.7      106.2     0.1423
      106.2      106.7     0.1440
      106.7      107.2     0.1257
      107.2      107.7     0.1226
      107.7      108.2     0.1202
      108.2      108.7     0.1252
      108.7      109.2     0.1173
      109.2      109.7     0.1000
      109.7      110.2     0.1327
      110.2      110.7     0.1520
      110.7      111.2     0.1712
      111.2      111.7     0.1303
      111.7      112.2 9.1253E-02
      112.2      112.7 5.3076E-02
      112.7      113.2 3.5958E-02
      113.2      113.7 1.8972E-02
      113.7      114.2 1.6271E-02
      114.2      114.7 5.0458E-03
      114.7      115.2         0.
      115.2      115.7 1.8023E-03
      115.7      116.2         0.
      116.2      116.7         0.
      116.7      117.2         0.
      117.2      117.7 1.4090E-03
      117.7      118.2 4.9409E-04
      118.2      118.7 3.0623E-04
